ID 			Name 	 Parts 	 In Sets 	 Wanted 	 For Sale 	 Color Timeline 
1 			White 	 12139 	 9244 	 16794 	 12146 	 1950 - 2020 
49 			Very Light Gray 	 22 	 24 	 1001 	 57 	 1997 - 2004 
99 			Very Light Bluish Gray 	 50 	 46 	 1622 	 92 	 2004 - 2013 
86 			Light Bluish Gray 	 3716 	 5749 	 6622 	 4160 	 2003 - 2020 
9 			Light Gray 	 1842 	 3182 	 4610 	 2361 	 1954 - 2008 
10 			Dark Gray 	 1037 	 1694 	 3323 	 1423 	 1961 - 2007 
85 			Dark Bluish Gray 	 3325 	 5338 	 6230 	 3683 	 2003 - 2020 
11 			Black 	 9833 	 10854 	 13762 	 10136 	 1957 - 2020 
59 			Dark Red 	 1387 	 1463 	 3028 	 1448 	 1961 - 2020 
5 			Red 	 6702 	 9275 	 10041 	 7164 	 1950 - 2020 
27 			Rust 	 9 	 13 	 892 	 30 	 1989 - 2001 
220 			Coral 	 89 	 114 	 324 	 94 	 2019 - 2020 
231 			Dark Salmon 	 1 	 1 	 3 	 1 	 2003 - 2003 
25 			Salmon 	 87 	 31 	 286 	 88 	 1997 - 2003 
26 			Light Salmon 	 49 	 19 	 282 	 52 	 1997 - 1999 
58 			Sand Red 	 39 	 18 	 345 	 45 	 2001 - 2004 
88 			Reddish Brown 	 1669 	 3385 	 3323 	 1869 	 2003 - 2020 
8 			Brown 	 569 	 1082 	 2623 	 885 	 1974 - 2006 
120 			Dark Brown 	 629 	 1264 	 2202 	 679 	 2008 - 2020 
69 			Dark Tan 	 884 	 1821 	 2391 	 928 	 1961 - 2020 
2 			Tan 	 1907 	 3791 	 4065 	 2119 	 1958 - 2020 
90 			Light Nougat 	 1372 	 1336 	 2425 	 1345 	 2004 - 2020 
28 			Nougat 	 144 	 192 	 944 	 185 	 1979 - 2020 
150 			Medium Nougat 	 659 	 1016 	 1490 	 693 	 2010 - 2020 
225 			Dark Nougat 	 3 	 10 	 230 	 10 	 2001 - 2004 
91 			Medium Brown 	 40 	 28 	 1005 	 73 	 2002 - 2006 
106 			Fabuland Brown 	 8 	 28 	 651 	 21 	 1979 - 1997 
160 			Fabuland Orange 	 1 	 1 	 250 	 5 	 1983 - 1983 
29 			Earth Orange 	 36 	 87 	 481 	 55 	 1982 - 2006 
68 			Dark Orange 	 593 	 1306 	 1778 	 670 	 1979 - 2020 
165 			Neon Orange 	  	  	 230 	 7 	 ? 
4 			Orange 	 1644 	 2738 	 3291 	 1829 	 1993 - 2020 
31 			Medium Orange 	 138 	 117 	 787 	 172 	 1950 - 2012 
110 			Bright Light Orange 	 856 	 1174 	 1963 	 940 	 2000 - 2020 
32 			Light Orange 	 16 	 16 	 323 	 55 	 1998 - 2005 
96 			Very Light Orange 	 1 	 2 	 251 	 14 	 2000 - 2000 
161 			Dark Yellow 	 4 	 4 	 449 	 19 	 2004 - 2005 
3 			Yellow 	 5963 	 9103 	 9067 	 6800 	 1950 - 2020 
103 			Bright Light Yellow 	 315 	 509 	 1419 	 356 	 2004 - 2020 
33 			Light Yellow 	 95 	 74 	 927 	 157 	 1994 - 2011 
35 			Light Lime 	 18 	 15 	 255 	 42 	 1992 - 2007 
158 			Yellowish Green 	 144 	 177 	 415 	 156 	 2012 - 2020 
166 			Neon Green 	  	  	 241 	 14 	 ? 
76 			Medium Lime 	 63 	 36 	 307 	 82 	 1998 - 2005 
34 			Lime 	 1432 	 1988 	 2289 	 1548 	 1982 - 2020 
155 			Olive Green 	 449 	 348 	 1529 	 479 	 2012 - 2020 
80 			Dark Green 	 766 	 805 	 2350 	 832 	 1961 - 2020 
6 			Green 	 1830 	 4568 	 3842 	 2107 	 1950 - 2020 
36 			Bright Green 	 506 	 1497 	 1756 	 596 	 1950 - 2020 
37 			Medium Green 	 121 	 99 	 472 	 145 	 1950 - 2004 
38 			Light Green 	 70 	 64 	 468 	 114 	 1992 - 2007 
48 			Sand Green 	 518 	 478 	 1437 	 572 	 1964 - 2020 
39 			Dark Turquoise 	 331 	 347 	 936 	 405 	 1998 - 2020 
40 			Light Turquoise 	 48 	 39 	 430 	 79 	 1998 - 2004 
41 			Aqua 	 80 	 60 	 904 	 113 	 1998 - 2006 
152 			Light Aqua 	 309 	 324 	 659 	 325 	 2011 - 2020 
63 			Dark Blue 	 1759 	 1655 	 3382 	 1807 	 1961 - 2020 
7 			Blue 	 3595 	 7380 	 5933 	 4004 	 1950 - 2020 
153 			Dark Azure 	 492 	 596 	 1333 	 511 	 2000 - 2020 
156 			Medium Azure 	 623 	 969 	 1291 	 646 	 2012 - 2020 
42 			Medium Blue 	 742 	 985 	 1724 	 849 	 1950 - 2020 
72 			Maersk Blue 	 84 	 14 	 454 	 122 	 1974 - 2011 
105 			Bright Light Blue 	 284 	 396 	 1109 	 325 	 2004 - 2020 
